contestSlug,contestTitle,date,problemCount,titleSlug,questionFrontendId,title,difficulty,acRate
weekly-contest-333,Weekly Contest 333,2023-02-19,4,minimum-operations-to-reduce-an-integer-to-0,2571,Minimum Operations to Reduce an Integer to 0,Medium,63.0
weekly-contest-333,Weekly Contest 333,2023-02-19,4,count-the-number-of-square-free-subsets,2572,Count the Number of Square-Free Subsets,Medium,26.8
weekly-contest-333,Weekly Contest 333,2023-02-19,4,find-the-string-with-lcp,2573,Find the String with LCP,Hard,63.1
weekly-contest-334,Weekly Contest 334,2023-02-26,4,left-and-right-sum-differences,2574,Left and Right Sum Differences,Easy,89.7
weekly-contest-334,Weekly Contest 334,2023-02-26,4,find-the-divisibility-array-of-a-string,2575,Find the Divisibility Array of a String,Medium,36.8
weekly-contest-334,Weekly Contest 334,2023-02-26,4,find-the-maximum-number-of-marked-indices,2576,Find the Maximum Number of Marked Indices,Medium,41.5
weekly-contest-334,Weekly Contest 334,2023-02-26,4,minimum-time-to-visit-a-cell-in-a-grid,2577,Minimum Time to Visit a Cell In a Grid,Hard,56.1
weekly-contest-335,Weekly Contest 335,2023-03-05,4,pass-the-pillow,2582,Pass the Pillow,Easy,56.6
weekly-contest-335,Weekly Contest 335,2023-03-05,4,kth-largest-sum-in-a-binary-tree,2583,Kth Largest Sum in a Binary Tree,Medium,59.0
weekly-contest-335,Weekly Contest 335,2023-03-05,4,split-the-array-to-make-coprime-products,2584,Split the Array to Make Coprime Products,Hard,29.2
weekly-contest-335,Weekly Contest 335,2023-03-05,4,number-of-ways-to-earn-points,2585,Number of Ways to Earn Points,Hard,60.0
weekly-contest-336,Weekly Contest 336,2023-03-12,4,count-the-number-of-vowel-strings-in-range,2586,Count the Number of Vowel Strings in Range,Easy,74.5
weekly-contest-336,Weekly Contest 336,2023-03-12,4,rearrange-array-to-maximize-prefix-score,2587,Rearrange Array to Maximize Prefix Score,Medium,43.0
weekly-contest-336,Weekly Contest 336,2023-03-12,4,count-the-number-of-beautiful-subarrays,2588,Count the Number of Beautiful Subarrays,Medium,54.5
weekly-contest-336,Weekly Contest 336,2023-03-12,4,minimum-time-to-complete-all-tasks,2589,Minimum Time to Complete All Tasks,Hard,40.2
weekly-contest-337,Weekly Contest 337,2023-03-19,4,number-of-even-and-odd-bits,2595,Number of Even and Odd Bits,Easy,73.8
weekly-contest-337,Weekly Contest 337,2023-03-19,4,check-knight-tour-configuration,2596,Check Knight Tour Configuration,Medium,61.8
weekly-contest-337,Weekly Contest 337,2023-03-19,4,the-number-of-beautiful-subsets,2597,The Number of Beautiful Subsets,Medium,51.0
weekly-contest-337,Weekly Contest 337,2023-03-19,4,smallest-missing-non-negative-integer-after-operations,2598,Smallest Missing Non-negative Integer After Operations,Medium,55.9
weekly-contest-338,Weekly Contest 338,2023-03-26,4,k-items-with-the-maximum-sum,2600,K Items With the Maximum Sum,Easy,60.3
weekly-contest-338,Weekly Contest 338,2023-03-26,4,prime-subtraction-operation,2601,Prime Subtraction Operation,Medium,55.6
weekly-contest-338,Weekly Contest 338,2023-03-26,4,minimum-operations-to-make-all-array-elements-equal,2602,Minimum Operations to Make All Array Elements Equal,Medium,38.7
